layer neuron connection weight
 -999 -999 -999 -0.0661818
0 0 0 -0.277973
0 0 1 -0.474935
0 0 2 0.230637
 -999 -999 -999 0.194532
0 1 0 0.233117
0 1 1 -0.312065
0 1 2 -0.229688
 -999 -999 -999 -0.420223
0 2 0 0.194266
0 2 1 0.286673
0 2 2 0.0949201
 -999 -999 -999 -0.234163
1 0 0 -0.473295
1 0 1 -0.199332
1 0 2 0.212491
 -999 -999 -999 0.00540722
1 1 0 0.249766
1 1 1 -0.252649
1 1 2 -0.459049
 -999 -999 -999 0.00822539
2 0 0 -0.287525
2 0 1 -0.422247
 -999 -999 -999 0.065083
2 1 0 -0.0464657
2 1 1 0.662248

